Character,Words,Play
Countess,350,1H6
MESSENGERS.ENGLISH.3,338,1H6
Burgundy,334,1H6
QueenMargaret,254,1H6
Vernon,237,1H6
Bastard,222,1H6
General,202,1H6
Shepherd,201,1H6
Basset,191,1H6
Mayor,151,1H6
MasterGunner,138,1H6
MESSENGERS.ENGLISH.1,126,1H6
Salisbury,113,1H6
MESSENGERS.FRENCH.1,102,1H6
SERVANTS.GLOUCESTER.0.2,83,1H6
Fastolf,55,1H6
MESSENGERS.ENGLISH.2,54,1H6
MESSENGERS.ENGLISH.X.2,49,1H6
OFFICERS.0.1,49,1H6
SERVANTS.GLOUCESTER.0.1,40,1H6
Woodville,38,1H6
SOLDIERS.ENGLISH.1,34,1H6
MESSENGERS.ENGLISH.X.1,33,1H6
Boy,32,1H6
SOLDIERS.FRENCH.Scout,31,1H6
SOLDIERS.FRENCH.Sergeant,31,1H6
JAILERS.0.1,30,1H6
Lawyer,29,1H6
SERVANTS.WINCHESTER.0.1,29,1H6
WATCHMEN.1,29,1H6
SOLDIERS.ENGLISH.Captain,22,1H6
WARDERS.1,22,1H6
SOLDIERS.FRENCH.PUCELLE.0.1,21,1H6
Gargrave,18,1H6
SERVANTS.GLOUCESTER,18,1H6
SOLDIERS.ENGLISH.SOMERSET.0.1,16,1H6
SERVANTS.TALBOT.1,10,1H6
Watchman,10,1H6
Glansdale,9,1H6
SERVANTS.3,9,1H6
WARDERS.2,9,1H6
Legate,7,1H6
SOLDIERS.ENGLISH.0.1,7,1H6
SERVANTS.1,5,1H6
SERVANTS.2,4,1H6
Porter,3,1H6
York,2990,2H6
QueenMargaret,2503,2H6
HenryVI,2480,2H6
Gloucester,2346,2H6
Suffolk,2306,2H6
Cade,2142,2H6
Warwick,1065,2H6
DuchessOfGloucester,963,2H6
CardinalBeaufort,816,2H6
Salisbury,723,2H6
Buckingham,562,2H6
Lieutenant,480,2H6
Clifford,468,2H6
Iden,432,2H6
Saye,361,2H6
YoungClifford,346,2H6
Dick,327,2H6
Hume,244,2H6
Thump,197,2H6
RichardIII,195,2H6
Holland,189,2H6
Somerset,182,2H6
Bolingbroke,181,2H6
Horner,171,2H6
Bevis,168,2H6
Simpcox,167,2H6
Smith,164,2H6
Whitmore,153,2H6
Stafford,112,2H6
Vaux,84,2H6
PETITIONERS.0.1,82,2H6
MESSENGERS.1,75,2H6
FOLLOWERS.CADE.0,70,2H6
FOLLOWERS.CADE,66,2H6
Scales,64,2H6
Michael,62,2H6
Spirit,61,2H6
Stanley,61,2H6
MESSENGERS.X.3,59,2H6
GENTLEMEN.1,56,2H6
SimpcoxWife,56,2H6
WilliamStafford,46,2H6
MESSENGERS.Post,45,2H6
PETITIONERS.0.2,43,2H6
CITIZENS.LONDON.0.1,38,2H6
MESSENGERS.2,35,2H6
George,34,2H6
Sheriff,34,2H6
MESSENGERS.X.2,32,2H6
Sawyer,32,2H6
MURDERERS.0.1,31,2H6
CITIZENS.STALBANS.0.1,29,2H6
Jourdain,27,2H6
MESSENGERS.X.1,24,2H6
NEIGHBORS.1,21,2H6
CITIZENS,20,2H6
Clerk,18,2H6
HERALDS.X.1,17,2H6
MURDERERS.0.2,17,2H6
MayorOfStAlbans,15,2H6
NEIGHBORS.3,15,2H6
PRENTICES.2,14,2H6
SERVANTS.GLOUCESTER.0.1,13,2H6
Beadle,12,2H6
GENTLEMEN.2,10,2H6
Mate,10,2H6
PRENTICES.1,10,2H6
Master,9,2H6
EdwardIV,8,2H6
NEIGHBORS.2,8,2H6
PETITIONERS,4,2H6
SOLDIERS.1,4,2H6
EdwardIV,3483,3H6
Warwick,3414,3H6
RichardIII,3174,3H6
HenryVI,2904,3H6
QueenMargaret,2246,3H6
York,1358,3H6
Clifford,1092,3H6
Clarence,836,3H6
QueenElizabeth,594,3H6
KingLewis,516,3H6
PrinceEdward,358,3H6
Oxford,277,3H6
Somerset,262,3H6
Northumberland,244,3H6
MESSENGERS.Post,224,3H6
Father,218,3H6
Rutland,196,3H6
Son,190,3H6
MESSENGERS.X.2,162,3H6
Hastings,158,3H6
GAMEKEEPERS.1,147,3H6
Exeter,136,3H6
GAMEKEEPERS.2,123,3H6
Montgomery,119,3H6
Montague,118,3H6
Westmorland,85,3H6
WATCHMEN.3,74,3H6
LadyBona,71,3H6
WATCHMEN.1,62,3H6
Rivers,54,3H6
MayorOfYork,48,3H6
WATCHMEN.2,48,3H6
MESSENGERS.X.4,46,3H6
Somerville,44,3H6
MESSENGERS.X.1,32,3H6
Norfolk,26,3H6
MESSENGERS.X.3,24,3H6
Tutor,24,3H6
SOLDIERS.YORK.0.1,23,3H6
Lieutenant,21,3H6
Huntsman,18,3H6
ATTENDANTS.EDWARD.1,16,3H6
MESSENGERS.X.5,14,3H6
JohnMortimer,10,3H6
MESSENGERS.2,8,3H6
MESSENGERS.1,6,3H6
ALDERMEN,5,3H6
SOLDIERS.MONTGOMERY,5,3H6
SOLDIERS.YORK,5,3H6
HenryVIII,3370,H8
Wolsey,3200,H8
Katherine,2885,H8
Buckingham,1480,H8
Norfolk,1453,H8
Chamberlain,1130,H8
Cranmer,1039,H8
GENTLEMEN.1,703,H8
Gardiner,665,H8
Suffolk,624,H8
GENTLEMEN.2,569,H8
Surrey,522,H8
OldLady,495,H8
Lovell,475,H8
Surveyor,449,H8
GENTLEMEN.3,437,H8
Griffith,421,H8
Campeius,379,H8
Anne,376,H8
SERVANTS.PORTER.1,354,H8
Sands,338,H8
Cromwell,304,H8
Porter,274,H8
Prologue,266,H8
Chancellor,212,H8
Epilogue,123,H8
Abergavenny,114,H8
Brandon,84,H8
LADIES.KATHERINE.0.1,70,H8
Guilford,69,H8
Capuchius,65,H8
Butts,59,H8
BishopOfLincoln,52,H8
Keeper,40,H8
LADIES.KATHERINE.Patience,35,H8
Messenger,29,H8
Sergeant,28,H8
Crier,24,H8
SERVANTS.X.1,24,H8
Vaux,24,H8
Denny,21,H8
Garter,21,H8
GENTLEMEN.X,19,H8
Scribe,18,H8
SERVANTS.LARDER.1,13,H8
SECRETARIES.0.1,8,H8
Usher,5,H8
Page,3,H8
Brutus,5388,JC
Cassius,3708,JC
Antony,2537,JC
Caesar,1142,JC
Casca,1073,JC
Portia,724,JC
Octavius,328,JC
Decius,323,JC
SOLDIERS.BRUTUS.Messala,254,JC
SOLDIERS.BRUTUS.Titinius,238,JC
Marullus,231,JC
PLEBEIANS.0.2,222,JC
PLEBEIANS.0.1,217,JC
PLEBEIANS.0.4,215,JC
PLEBEIANS.0.3,213,JC
Flavius,207,JC
Lucius,206,JC
Calphurnia,203,JC
SOLDIERS.BRUTUS.Lucilius,197,JC
Artemidorus,145,JC
COMMONERS.Cobbler,145,JC
Soothsayer,131,JC
Cinna,130,JC
Metellus,121,JC
Pindarus,120,JC
SERVANTS.ANTONY.1,119,JC
Ligarius,111,JC
CinnaPoet,104,JC
PLEBEIANS,89,JC
SOLDIERS.BRUTUS.Clitus,70,JC
Cicero,62,JC
SERVANTS.OCTAVIUS.1,62,JC
Trebonius,60,JC
SOLDIERS.BRUTUS.Strato,59,JC
Poet,54,JC
SOLDIERS.BRUTUS.Cato,54,JC
SERVANTS.CAESAR.1,31,JC
SOLDIERS.BRUTUS.Varro,31,JC
SOLDIERS.ANTONY.0.1,26,JC
Messenger,24,JC
Lepidus,22,JC
SOLDIERS.BRUTUS.Volumnius,17,JC
SOLDIERS.BRUTUS.Claudius,16,JC
SOLDIERS.BRUTUS.Dardanus,15,JC
Popilius,10,JC
SOLDIERS.ANTONY.0.2,7,JC
Publius,6,JC
COMMONERS.Carpenter,4,JC
SOLDIERS.BRUTUS.0.1,1,JC
SOLDIERS.BRUTUS.0.2,1,JC
SOLDIERS.BRUTUS.0.3,1,JC
Bastard,4087,Jn
KingJohn,3309,Jn
Constance,2112,Jn
KingPhilip,1477,Jn
Pandulph,1264,Jn
Salisbury,1216,Jn
Dauphin,1194,Jn
Hubert,1010,Jn
Arthur,977,Jn
Pembroke,610,Jn
CITIZENS.0.1,517,Jn
QueenEleanor,424,Jn
Blanche,332,Jn
Melun,308,Jn
Chatillion,296,Jn
Austria,239,Jn
PrinceHenry,221,Jn
RobertFaulconbridge,179,Jn
MESSENGERS.ENGLISH.1,164,Jn
LadyFaulconbridge,122,Jn
HERALDS.ENGLISH,101,Jn
HERALDS.FRENCH,87,Jn
Bigot,59,Jn
MESSENGERS.FRENCH.1,46,Jn
Essex,25,Jn
EXECUTIONERS.0.1,19,Jn
Peter,8,Jn
Gurney,4,Jn
Lear,5601,Lr
Edgar,2903,Lr
Kent,2586,Lr
Gloucester,2531,Lr
Edmund,2369,Lr
Fool,1739,Lr
Goneril,1473,Lr
Regan,1363,Lr
Albany,1006,Lr
Cordelia,825,Lr
